Star_Name	Colon_Name
KIR3DL1*0150208	KIR:KIR00726
KIR3DL1*0150209	KIR:KIR00727
KIR3DL1*0150210	KIR:KIR00728
KIR3DL1*0150211	KIR:KIR00759
KIR3DL1*0150212	KIR:KIR00760
KIR3DL1*01701	KIR:KIR00105
KIR3DL1*0200101	KIR:KIR00133
KIR3DL1*0200102	KIR:KIR00723
KIR3DL1*022	KIR:KIR00145
KIR3DL1*0250101	KIR:KIR00149
KIR3DL1*0250102	KIR:KIR00756
KIR3DL1*0250103	KIR:KIR00757
KIR3DL1*0290101	KIR:KIR00153
KIR3DL1*0290102	KIR:KIR00638
KIR3DL1*0310101	KIR:KIR00155
KIR3DL1*0310102	KIR:KIR00763
KIR3DL1*05901	KIR:KIR00311
KIR3DL1*062	KIR:KIR00454
KIR3DL1*063	KIR:KIR00455
KIR3DL1*077	KIR:KIR00730
KIR3DL1*087	KIR:KIR00766
KIR3DL2*0010101	KIR:KIR00065
KIR3DL2*0010102	KIR:KIR00459
KIR3DL2*0010301	KIR:KIR00317
KIR3DL2*0010302	KIR:KIR00462
KIR3DL2*0020101	KIR:KIR00066
KIR3DL2*0020102	KIR:KIR00461
KIR3DL2*0020103	KIR:KIR00463
KIR3DL2*0020104	KIR:KIR00464
KIR3DL2*0020105	KIR:KIR00465
KIR3DL2*0020106	KIR:KIR00640
KIR3DL2*00202	KIR:KIR00460
KIR3DL2*00501	KIR:KIR00069
KIR3DL2*0070101	KIR:KIR00071
KIR3DL2*0070102	KIR:KIR00295
KIR3DL2*0070103	KIR:KIR00458
KIR3DL2*008	KIR:KIR00072
KIR3DL2*00901	KIR:KIR00073
KIR3DL2*00903	KIR:KIR00457
KIR3DL2*01001	KIR:KIR00074
KIR3DL2*018	KIR:KIR00205
KIR3DL2*023	KIR:KIR00279
KIR3DL2*056	KIR:KIR00624
KIR3DP1*001	KIR:KIR00087
KIR3DP1*002	KIR:KIR00093
KIR3DP1*0030101	KIR:KIR00088
KIR3DP1*0030102	KIR:KIR00467
KIR3DP1*0030201	KIR:KIR00094
KIR3DP1*0030202	KIR:KIR00466
KIR3DP1*0030203	KIR:KIR00468
KIR3DP1*0030204	KIR:KIR00469
KIR3DP1*0030205	KIR:KIR00627
KIR3DP1*0030206	KIR:KIR00643
KIR3DP1*00303	KIR:KIR00470
KIR3DP1*0030401	KIR:KIR00471
KIR3DP1*0030402	KIR:KIR00629
KIR3DP1*004	KIR:KIR00091
KIR3DP1*005	KIR:KIR00268
KIR3DP1*006	KIR:KIR00269
KIR3DP1*007	KIR:KIR00309
KIR3DP1*008	KIR:KIR00472
KIR3DP1*0090101	KIR:KIR00492
KIR3DP1*0090102	KIR:KIR00494
KIR3DP1*0090103	KIR:KIR00495
KIR3DP1*00902	KIR:KIR00493
KIR3DP1*01001	KIR:KIR00628
KIR3DS1*0130101	KIR:KIR00085
KIR3DS1*0130102	KIR:KIR00489
KIR3DS1*0130103	KIR:KIR00488
KIR3DS1*0130104	KIR:KIR00708
KIR3DS1*0130105	KIR:KIR00709
KIR3DS1*0130106	KIR:KIR00710
KIR3DS1*0130107	KIR:KIR00711
KIR3DS1*0130108	KIR:KIR00713
KIR3DS1*0130109	KIR:KIR00715
KIR3DS1*0130110	KIR:KIR00717
KIR3DS1*0130111	KIR:KIR00719
KIR3DS1*014	KIR:KIR00086
KIR3DS1*055	KIR:KIR00243
KIR3DS1*078	KIR:KIR00751
