Star_Name	Colon_Name
KIR2DS1*00301	IPD:KIR00035
KIR2DS1*00302	IPD:KIR00254
KIR2DS1*004	IPD:KIR00036
KIR2DS1*00501	IPD:KIR00252
KIR2DS1*00502	IPD:KIR00256
KIR2DS1*006	IPD:KIR00253
KIR2DS1*008	IPD:KIR00271
KIR2DS1*009	IPD:KIR00797
KIR2DS2*0010101	IPD:KIR00037
KIR2DS2*0010102	IPD:KIR00302
KIR2DS2*0010103	IPD:KIR00270
KIR2DS2*0010104	IPD:KIR00336
KIR2DS2*0010105	IPD:KIR00446
KIR2DS2*0010106	IPD:KIR00447
KIR2DS2*0010107	IPD:KIR00448
KIR2DS2*0010108	IPD:KIR00449
KIR2DS2*0010109	IPD:KIR00450
KIR2DS2*0010110	IPD:KIR00451
KIR2DS2*0010111	IPD:KIR00623
KIR2DS2*0010112	IPD:KIR00635
KIR2DS2*00102	IPD:KIR00097
KIR2DS2*00103	IPD:KIR00098
KIR2DS2*00104	IPD:KIR00211
KIR2DS2*00105	IPD:KIR00973
KIR2DS2*002	IPD:KIR00038
KIR2DS2*003	IPD:KIR00039
KIR2DS2*004	IPD:KIR00040
KIR2DS2*005	IPD:KIR00041
KIR2DS2*006	IPD:KIR00337
KIR2DS2*007	IPD:KIR00530
KIR2DS2*008	IPD:KIR00531
KIR2DS2*009	IPD:KIR00906
KIR2DS3*00101	IPD:KIR00042
KIR2DS3*00102	IPD:KIR00043
KIR2DS3*0010301	IPD:KIR00044
KIR2DS3*0010302	IPD:KIR00636
KIR2DS3*00104	IPD:KIR00272
KIR2DS3*00105	IPD:KIR00321
KIR2DS3*00106	IPD:KIR00322
KIR2DS3*0020101	IPD:KIR00131
KIR2DS3*0020102	IPD:KIR00429
KIR2DS3*0020103	IPD:KIR00652
KIR2DS3*003N	IPD:KIR00232
KIR2DS3*004	IPD:KIR00273
KIR2DS3*005	IPD:KIR00529
KIR2DS3*006	IPD:KIR00663
KIR2DS3*007	IPD:KIR00699
KIR2DS3*008	IPD:KIR00885
KIR2DS4*0010101	IPD:KIR00045
KIR2DS4*0010102	IPD:KIR00092
KIR2DS4*0010103	IPD:KIR00099
KIR2DS4*0010104	IPD:KIR00452
KIR2DS4*0010105	IPD:KIR00453
KIR2DS4*0010106	IPD:KIR00496
KIR2DS4*0010107	IPD:KIR00499
KIR2DS4*0010108	IPD:KIR00498
KIR2DS4*0010109	IPD:KIR00497
KIR2DS4*00102	IPD:KIR00046
KIR2DS4*00103	IPD:KIR00274
KIR2DS4*00104	IPD:KIR00327
KIR2DS4*00105	IPD:KIR00820
KIR2DS4*00106	IPD:KIR00947
KIR2DS4*0030101	IPD:KIR00048
KIR2DS4*0030102	IPD:KIR00318
KIR2DS4*0030103	IPD:KIR00430
KIR2DS4*0030104	IPD:KIR00431
KIR2DS4*0040101	IPD:KIR00089
KIR2DS4*0040102	IPD:KIR00637
KIR2DS4*0060101	IPD:KIR00090
KIR2DS4*0060102	IPD:KIR00651
KIR2DS4*007	IPD:KIR00132
KIR2DS4*008	IPD:KIR00258
KIR2DS4*009	IPD:KIR00275
KIR2DS4*010	IPD:KIR00315
KIR2DS4*01101	IPD:KIR00320
KIR2DS4*01102	IPD:KIR00341
KIR2DS4*012	IPD:KIR00323
KIR2DS4*013	IPD:KIR00338
KIR2DS4*014	IPD:KIR00340
KIR2DS4*015	IPD:KIR00342
KIR2DS4*016	IPD:KIR00731
KIR2DS4*017	IPD:KIR00819
KIR2DS4*018	IPD:KIR00821
KIR2DS4*019	IPD:KIR00995
KIR2DS4*020	IPD:KIR00996
KIR2DS5*001	IPD:KIR00049
KIR2DS5*0020101	IPD:KIR00050
KIR2DS5*0020102	IPD:KIR00299
KIR2DS5*0020103	IPD:KIR00297
KIR2DS5*0020104	IPD:KIR00433
KIR2DS5*00202	IPD:KIR00532
KIR2DS5*003	IPD:KIR00051
KIR2DS5*004	IPD:KIR00100
KIR2DS5*00501	IPD:KIR00101
KIR2DS5*00502	IPD:KIR00706
KIR2DS5*006	IPD:KIR00276
KIR2DS5*007	IPD:KIR00277
KIR2DS5*00801	IPD:KIR00278
KIR2DS5*00802	IPD:KIR00339
KIR2DS5*009	IPD:KIR00319
KIR2DS5*010	IPD:KIR00432
KIR2DS5*011	IPD:KIR00665
KIR2DS5*01201	IPD:KIR00680
KIR2DS5*01202	IPD:KIR00970
KIR2DS5*013	IPD:KIR00822
KIR2DS5*014	IPD:KIR00824
KIR2DS5*015	IPD:KIR00878
KIR2DS5*016	IPD:KIR00893
KIR2DS5*017	IPD:KIR00948
KIR3DL1*0010101	IPD:KIR00054
KIR3DL1*0010102	IPD:KIR00434
KIR3DL1*0010103	IPD:KIR00761
KIR3DL1*0010104	IPD:KIR00964
KIR3DL1*0010105	IPD:KIR00965
KIR3DL1*00102	IPD:KIR00055
KIR3DL1*00103	IPD:KIR00809
KIR3DL1*00104	IPD:KIR00857
KIR3DL1*00105	IPD:KIR00877
KIR3DL1*002	IPD:KIR00056
KIR3DL1*0040101	IPD:KIR00058
KIR3DL1*0040102	IPD:KIR00758
KIR3DL1*0040103	IPD:KIR00762
KIR3DL1*00402	IPD:KIR00059
KIR3DL1*00403	IPD:KIR00526
KIR3DL1*00404	IPD:KIR00854
KIR3DL1*0050101	IPD:KIR00060
KIR3DL1*0050102	IPD:KIR00456
KIR3DL1*0050103	IPD:KIR00707
KIR3DL1*0050104	IPD:KIR00716
KIR3DL1*0050105	IPD:KIR00718
KIR3DL1*00502	IPD:KIR00160
KIR3DL1*00503	IPD:KIR00673
KIR3DL1*00504	IPD:KIR00855
KIR3DL1*00505	IPD:KIR00873
KIR3DL1*006	IPD:KIR00061
KIR3DL1*0070101	IPD:KIR00062
KIR3DL1*0070102	IPD:KIR00639
KIR3DL1*0070103	IPD:KIR00712
KIR3DL1*0070104	IPD:KIR00714
KIR3DL1*008	IPD:KIR00063
KIR3DL1*009	IPD:KIR00064
KIR3DL1*0150101	IPD:KIR00102
KIR3DL1*0150102	IPD:KIR00754
KIR3DL1*0150103	IPD:KIR00755
KIR3DL1*0150201	IPD:KIR00057
KIR3DL1*0150202	IPD:KIR00479
KIR3DL1*0150203	IPD:KIR00480
KIR3DL1*0150204	IPD:KIR00720
KIR3DL1*0150205	IPD:KIR00722
KIR3DL1*0150206	IPD:KIR00724
KIR3DL1*0150207	IPD:KIR00725
KIR3DL1*0150208	IPD:KIR00726
KIR3DL1*0150209	IPD:KIR00727
KIR3DL1*0150210	IPD:KIR00728
KIR3DL1*0150211	IPD:KIR00759
KIR3DL1*0150212	IPD:KIR00760
KIR3DL1*0150213	IPD:KIR00971
KIR3DL1*01503	IPD:KIR00501
KIR3DL1*01504	IPD:KIR00676
KIR3DL1*01505	IPD:KIR00742
KIR3DL1*01506	IPD:KIR00872
KIR3DL1*016	IPD:KIR00104
KIR3DL1*01701	IPD:KIR00105
KIR3DL1*01702	IPD:KIR00233
KIR3DL1*018	IPD:KIR00106
KIR3DL1*019	IPD:KIR00108
KIR3DL1*0200101	IPD:KIR00133
KIR3DL1*0200102	IPD:KIR00723
KIR3DL1*021	IPD:KIR00144
KIR3DL1*022	IPD:KIR00145
KIR3DL1*023	IPD:KIR00147
KIR3DL1*024N	IPD:KIR00148
KIR3DL1*0250101	IPD:KIR00149
KIR3DL1*0250102	IPD:KIR00756
KIR3DL1*0250103	IPD:KIR00757
KIR3DL1*026	IPD:KIR00150
KIR3DL1*02701	IPD:KIR00151
KIR3DL1*02702	IPD:KIR00745
KIR3DL1*028	IPD:KIR00152
KIR3DL1*0290101	IPD:KIR00153
KIR3DL1*0290102	IPD:KIR00638
KIR3DL1*030	IPD:KIR00154
KIR3DL1*0310101	IPD:KIR00155
KIR3DL1*0310102	IPD:KIR00763
KIR3DL1*03102	IPD:KIR00506
KIR3DL1*032	IPD:KIR00156
KIR3DL1*033	IPD:KIR00157
KIR3DL1*034	IPD:KIR00158
KIR3DL1*03501	IPD:KIR00159
KIR3DL1*03502	IPD:KIR00747
KIR3DL1*036	IPD:KIR00162
KIR3DL1*037	IPD:KIR00163
KIR3DL1*038	IPD:KIR00169
KIR3DL1*039	IPD:KIR00170
KIR3DL1*040	IPD:KIR00171
KIR3DL1*041	IPD:KIR00172
KIR3DL1*042	IPD:KIR00173
KIR3DL1*043	IPD:KIR00174
KIR3DL1*044	IPD:KIR00161
KIR3DL1*051	IPD:KIR00238
KIR3DL1*052	IPD:KIR00239
KIR3DL1*053	IPD:KIR00240
KIR3DL1*054	IPD:KIR00241
KIR3DL1*056	IPD:KIR00250
KIR3DL1*057	IPD:KIR00251
KIR3DL1*05901	IPD:KIR00311
KIR3DL1*05902	IPD:KIR00860
KIR3DL1*060	IPD:KIR00312
KIR3DL1*061	IPD:KIR00310
KIR3DL1*062	IPD:KIR00454
KIR3DL1*063	IPD:KIR00455
KIR3DL1*064	IPD:KIR00500
KIR3DL1*065	IPD:KIR00502
KIR3DL1*066	IPD:KIR00503
KIR3DL1*067	IPD:KIR00504
KIR3DL1*068	IPD:KIR00505
KIR3DL1*069	IPD:KIR00508
KIR3DL1*070	IPD:KIR00509
KIR3DL1*071	IPD:KIR00511
KIR3DL1*072	IPD:KIR00527
KIR3DL1*073	IPD:KIR00528
KIR3DL1*074	IPD:KIR00681
KIR3DL1*075	IPD:KIR00679
KIR3DL1*076	IPD:KIR00701
KIR3DL1*077	IPD:KIR00730
KIR3DL1*079	IPD:KIR00743
KIR3DL1*080	IPD:KIR00744
KIR3DL1*081N	IPD:KIR00746
KIR3DL1*086	IPD:KIR00767
KIR3DL1*087	IPD:KIR00766
KIR3DL1*088	IPD:KIR00810
KIR3DL1*089	IPD:KIR00811
KIR3DL1*090	IPD:KIR00812
KIR3DL1*091	IPD:KIR00813
KIR3DL1*092	IPD:KIR00814
KIR3DL1*093	IPD:KIR00815
KIR3DL1*094N	IPD:KIR00816
KIR3DL1*095	IPD:KIR00851
KIR3DL1*096	IPD:KIR00866
KIR3DL1*097	IPD:KIR00867
KIR3DL1*098	IPD:KIR00868
KIR3DL1*099	IPD:KIR00869
KIR3DL1*100	IPD:KIR00859
KIR3DL1*101	IPD:KIR00870
KIR3DL1*102	IPD:KIR00875
KIR3DL1*103	IPD:KIR00876
KIR3DL1*109	IPD:KIR00890
KIR3DL1*110	IPD:KIR00958
KIR3DL1*111	IPD:KIR00960
KIR3DL1*112	IPD:KIR00966
KIR3DL1*113	IPD:KIR00974
KIR3DL1*114	IPD:KIR00983
KIR3DL1*115	IPD:KIR00986
KIR3DL1*116	IPD:KIR00987
KIR3DL1*117	IPD:KIR00988
KIR3DL1*118	IPD:KIR00989
KIR3DL2*0010101	IPD:KIR00065
KIR3DL2*0010102	IPD:KIR00459
KIR3DL2*00102	IPD:KIR00280
KIR3DL2*0010301	IPD:KIR00317
KIR3DL2*0010302	IPD:KIR00462
KIR3DL2*00104	IPD:KIR00541
KIR3DL2*00105	IPD:KIR00796
KIR3DL2*00106	IPD:KIR00789
KIR3DL2*00107	IPD:KIR00832
KIR3DL2*00109	IPD:KIR00937
KIR3DL2*0020101	IPD:KIR00066
KIR3DL2*0020102	IPD:KIR00461
KIR3DL2*0020103	IPD:KIR00463
KIR3DL2*0020104	IPD:KIR00464
KIR3DL2*0020105	IPD:KIR00465
KIR3DL2*0020106	IPD:KIR00640
KIR3DL2*00202	IPD:KIR00460
KIR3DL2*00203	IPD:KIR00770
KIR3DL2*00204	IPD:KIR00847
KIR3DL2*00301	IPD:KIR00067
KIR3DL2*00302	IPD:KIR00287
KIR3DL2*00303	IPD:KIR00774
KIR3DL2*00304	IPD:KIR00783
KIR3DL2*004	IPD:KIR00068
KIR3DL2*00501	IPD:KIR00069
KIR3DL2*00502	IPD:KIR00600
KIR3DL2*00601	IPD:KIR00070
KIR3DL2*00602	IPD:KIR00930
KIR3DL2*0070101	IPD:KIR00071
KIR3DL2*0070102	IPD:KIR00295
KIR3DL2*0070103	IPD:KIR00458
KIR3DL2*00702	IPD:KIR00543
KIR3DL2*00703	IPD:KIR00778
KIR3DL2*00704	IPD:KIR00808
KIR3DL2*00705	IPD:KIR00823
KIR3DL2*00706	IPD:KIR00841
KIR3DL2*00707	IPD:KIR00844
KIR3DL2*00708	IPD:KIR00915
KIR3DL2*00709	IPD:KIR00927
